NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Levine Toilolo,DET,cbssports.com,TE,0,0,0,0,0,23.0,0.1,0,0,0.1
Darrell Daniels,IND,cbssports.com,TE,0,0,0,0,0,27.0,0.1,0,0,0.1
Daniel Brown,CHI,cbssports.com,TE,0,0,0,0,0,44.0,0.1,0,0,0.1
Lee Smith,OAK,cbssports.com,TE,0,0,0,0,0,42.0,0.0,0,0,0.1
Jacob Hollister,NE,cbssports.com,TE,0,0,0,0,0,20.0,0.0,0,0,0.1
Niles Paul,JAC,cbssports.com,TE,0,0,0,0,0,33.0,0.0,0,0,0.1
Ross Travis,IND,cbssports.com,TE,0,0,0,0,0,36.0,0.0,0,0,0.1
Sean McGrath,DET,cbssports.com,TE,0,0,0,0,0,35.0,0.0,0,0,0.1
Derek Carrier,OAK,cbssports.com,TE,0,0,0,0,0,36.0,0.0,0,0,0.1
Ryan Hewitt,CIN,cbssports.com,TE,0,0,0,0,0,19.0,0.0,0,0,0.1
Logan Paulsen,ATL,cbssports.com,TE,0,0,0,0,0,14.0,0.1,0,0,0.1
Ben Braunecker,CHI,cbssports.com,TE,0,0,0,0,0,9.0,0.0,0,0,0.1
