NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Tevin Coleman,ATL,ESPN.com,RB,0,0,0,590.2,4.2,342.2,1.6,0,0,0
Kenny Golladay,DET,ESPN.com,WR,0,0,0,0,0,781.9,5.1,0,0,0
Allen Hurns,DAL,ESPN.com,WR,0,0,0,0,0,759.9,4.4,0,0,0
Julian Edelman,NE,ESPN.com,WR,0,0,0,23.2,0.1,705,4.2,0,0,0
Jimmy Graham,GB,ESPN.com,TE,0,0,0,0,0,613.2,7.2,0,0,0
Lamar Miller,HOU,ESPN.com,RB,0,0,0,721.5,4.4,219.6,1.1,0,0,0
Tyler Lockett,SEA,ESPN.com,WR,0,0,0,84.6,0.3,654,3.9,0,0,0
Kerryon Johnson,DET,ESPN.com,RB,0,0,0,647.6,4,239.8,0.9,0,0,0
Isaiah Crowell,NYJ,ESPN.com,RB,0,0,0,668.4,4,223.4,0.7,0,0,0
Paul Richardson,WSH,ESPN.com,WR,0,0,0,0,0,730.9,3.4,0,0,0
Cameron Meredith,NO,ESPN.com,WR,0,0,0,0,0,679.6,4.1,0,0,0
Jordan Matthews,NE,ESPN.com,WR,0,0,0,0,0,629.7,4.5,0,0,0
Charles Clay,BUF,ESPN.com,TE,0,0,0,0,0,636.3,3.3,0,0,0
Martavis Bryant,OAK,ESPN.com,WR,0,0,0,24.8,0.1,658.3,4.3,0,0,0
Devontae Booker,DEN,ESPN.com,RB,0,0,0,383.5,2.1,374,1.3,0,0,0
James White,NE,ESPN.com,RB,0,0,0,214.1,2.1,407.5,2.5,0,0,0
Albert Wilson,MIA,ESPN.com,WR,0,0,0,11.3,0,626.7,3.4,0,0,0
Anthony Miller,CHI,ESPN.com,WR,0,0,0,0,0,658.7,3.4,0,0,0
Terrance Williams,DAL,ESPN.com,WR,0,0,0,13.2,0.1,666.3,3.4,0,0,0
Ty Montgomery,GB,ESPN.com,RB,0,0,0,357,2.6,326.9,1.9,0,0,0
Theo Riddick,DET,ESPN.com,RB,0,0,0,176.1,1.1,426,2.5,0,0,0
Jamaal Williams,GB,ESPN.com,RB,0,0,0,536.2,3.9,224.7,1.4,0,0,0
Calvin Ridley,ATL,ESPN.com,WR,0,0,0,0,0,610,3.6,0,0,0
Trey Burton,CHI,ESPN.com,TE,0,0,0,0,0,559,4,0,0,0
AJ McCarron,BUF,ESPN.com,QB,2246.7,10,7,112.2,0.9,0,0,0,0,0
Willie Snead,BAL,ESPN.com,WR,0,0,0,0,0,633.4,2.2,0,0,0
Bilal Powell,NYJ,ESPN.com,RB,0,0,0,474.2,3,244.2,0.8,0,0,0
Brandon LaFell,CIN,ESPN.com,WR,0,0,0,0,0,583.9,3.5,0,0,0
Ted Ginn Jr.,NO,ESPN.com,WR,0,0,0,54.8,0.3,608.8,3,0,0,0
David Njoku,CLE,ESPN.com,TE,0,0,0,0,0,514.9,5.2,0,0,0
Josh McCown,NYJ,ESPN.com,QB,2142.4,10.5,7.8,101,1,0,0,0,0,0
Cameron Brate,TB,ESPN.com,TE,0,0,0,0,0,538.1,4.5,0,0,0
Jared Cook,OAK,ESPN.com,TE,0,0,0,0,0,568,3.7,0,0,0
Mike Wallace,PHI,ESPN.com,WR,0,0,0,0,0,582.8,4,0,0,0
Christian Kirk,ARI,ESPN.com,WR,0,0,0,0,0,593.9,2.9,0,0,0
George Kittle,SF,ESPN.com,TE,0,0,0,0,0,537.1,4,0,0,0
Giovani Bernard,CIN,ESPN.com,RB,0,0,0,338.2,1.6,346.7,1,0,0,0
Zay Jones,BUF,ESPN.com,WR,0,0,0,0,0,595.5,3,0,0,0
Sam Bradford,ARI,ESPN.com,QB,2103.6,10.7,4.5,32.5,0.4,0,0,0,0,0
Rex Burkhead,NE,ESPN.com,RB,0,0,0,464.6,4.2,206.6,1.1,0,0,0
Eric Ebron,IND,ESPN.com,TE,0,0,0,0,0,516.8,4,0,0,0
Vance McDonald,PIT,ESPN.com,TE,0,0,0,0,0,519.6,4.5,0,0,0
Tyrell Williams,LAC,ESPN.com,WR,0,0,0,0,0,612.2,3.7,0,0,0
Austin Seferian-Jenkins,JAX,ESPN.com,TE,0,0,0,0,0,509,4,0,0,0
Kenneth Dixon,BAL,ESPN.com,RB,0,0,0,428.3,2.6,239,0.9,0,0,0
Benjamin Watson,NO,ESPN.com,TE,0,0,0,0,0,469.5,4.7,0,0,0
